MapCHECK 3 Measurement File:	Measured File

Header:
File Revision:	A
File Name:	H:\Physics\Share\MapCHECK\MapCHECK_QA\276477001(Essen)\2025\6\Linearity_1000MU_4-Jun-2025-A.txt
Date:	06/04/25	Time:	21:44:18	
Calibration File:	6x_newMapcheck.cal
Software Version:	8.6.0.76

	Device Config
Model:	1178 MapCHECK 3
Serial:	276477001
Hardware Revision:	E3\D3
Firmware Version:	1.00.01.00
FPGA Version:	1.0.0
Diode Type:	4
EIB Total Counts:	17015502	15690259
Collection Interval:	50	ms

	Device Setup
Beam Energy:	6	MV
MapPHAN:	0	
Orientation:	0

	Dose Calibration
Dose Per Count:	2.363315171e-05
Energy:	6x
Time Stamp:	1749090200
Temperature:	19.95342752	C
Comments:	6x       BR3_6/4/2025

	Data Corrections Applied
Absolute Dose:	1
Temperature:	1
Angular:	1
Field Size:	0

	Measurement Info
Delivery Type:	VMAT
Temperature:	20.066
Update Count:	2122
Backgrounds Count:	1
Total Pulses:	39908
Total Time:	115450	ms
Beam ON Time:	106050	ms
CaxY:	33
CaxX:	27
Row Counts in 2D:	65
Col Counts in 2D:	53

Background
Ycm	ROW	
15.5	64	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1.071951413000000	0.000000000000000	1.058049703000000	0.000000000000000	1.091947670000000	0.000000000000000	1.072328059000000	0.000000000000000	1.088167945000000	0.000000000000000	1.107044674000000	0.000000000000000	1.111608366000000	0.000000000000000	1.067711159000000	0.000000000000000	1.074363588000000	0.000000000000000	1.035130683000000	0.000000000000000	1.071139149000000	0.000000000000000	1.076515796000000	0.000000000000000	1.108893294000000	0.000000000000000	1.058222424000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
15.0	63	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1.061691390000000	0.000000000000000	1.008129879000000	0.000000000000000	1.006603834000000	0.000000000000000	0.978662980700000	0.000000000000000	1.013586618000000	0.000000000000000	1.017631036000000	0.000000000000000	1.029507134000000	0.000000000000000	1.028343174000000	0.000000000000000	1.021531586000000	0.000000000000000	0.989203604200000	0.000000000000000	0.997055447300000	0.000000000000000	1.008401099000000	0.000000000000000	0.991628084200000	0.000000000000000	1.032834549000000	0.000000000000000	1.080147785000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
14.5	62	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1.078651893000000	0.000000000000000	1.074885495000000	0.000000000000000	1.069940149000000	0.000000000000000	1.097621066000000	0.000000000000000	1.077893695000000	0.000000000000000	1.105759860000000	0.000000000000000	1.057035130000000	0.000000000000000	1.106424565000000	0.000000000000000	1.141879655000000	0.000000000000000	1.064163019000000	0.000000000000000	1.064806271000000	0.000000000000000	1.076585923000000	0.000000000000000	1.060190062000000	0.000000000000000	1.076513517000000	0.000000000000000	1.100175087000000	0.000000000000000	1.106820511000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
14.0	61	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1.001475392000000	0.000000000000000	0.994802396900000	0.000000000000000	1.000425684000000	0.000000000000000	0.972508373300000	0.000000000000000	0.993024087200000	0.000000000000000	1.011356283000000	0.000000000000000	1.011909219000000	0.000000000000000	0.987600022600000	0.000000000000000	0.979991857300000	0.000000000000000	0.987952293200000	0.000000000000000	0.992113945600000	0.000000000000000	1.004600489000000	0.000000000000000	1.010587813000000	0.000000000000000	1.009686970000000	0.000000000000000	0.997184377500000	0.000000000000000	1.027561474000000	0.000000000000000	1.014376394000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
13.5	60	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1.108983699000000	0.000000000000000	1.098023524000000	0.000000000000000	1.075661744000000	0.000000000000000	1.097460922000000	0.000000000000000	1.071374870000000	0.000000000000000	1.063215874000000	0.000000000000000	1.049233699000000	0.000000000000000	1.083166541000000	0.000000000000000	1.090204087000000	0.000000000000000	1.099951701000000	0.000000000000000	1.070656641000000	0.000000000000000	1.062941863000000	0.000000000000000	1.088809616000000	0.000000000000000	1.056527701000000	0.000000000000000	1.060422220000000	0.000000000000000	1.068090185000000	0.000000000000000	1.107957810000000	0.000000000000000	1.059667143000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
13.0	59	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1.017564415000000	0.000000000000000	0.997516382200000	0.000000000000000	1.016755062000000	0.000000000000000	1.038186595000000	0.000000000000000	1.027600375000000	0.000000000000000	0.972246422300000	0.000000000000000	1.019750070000000	0.000000000000000	0.979179583200000	0.000000000000000	1.015678703000000	0.000000000000000	1.016574976000000	0.000000000000000	1.024088561000000	0.000000000000000	0.980425564800000	0.000000000000000	1.022695390000000	0.000000000000000	1.015635621000000	0.000000000000000	1.022081352000000	0.000000000000000	0.993750067100000	0.000000000000000	1.006064374000000	0.000000000000000	1.022538800000000	0.000000000000000	0.990631406600000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
12.5	58	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1.081624406000000	0.000000000000000	1.084315271000000	0.000000000000000	1.074462436000000	0.000000000000000	1.044286231000000	0.000000000000000	1.048276118000000	0.000000000000000	1.090669432000000	0.000000000000000	1.061642393000000	0.000000000000000	1.062696076000000	0.000000000000000	1.083514700000000	0.000000000000000	1.080934816000000	0.000000000000000	1.088184560000000	0.000000000000000	1.051526989000000	0.000000000000000	1.069329368000000	0.000000000000000	1.051504505000000	0.000000000000000	1.054944665000000	0.000000000000000	1.088602732000000	0.000000000000000	1.093929262000000	0.000000000000000	1.085099491000000	0.000000000000000	1.065806283000000	0.000000000000000	1.057610052000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
12.0	57	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1.028678217000000	0.000000000000000	1.024010460000000	0.000000000000000	0.987103145700000	0.000000000000000	1.006474320000000	0.000000000000000	1.000922527000000	0.000000000000000	0.986609098400000	0.000000000000000	1.000065919000000	0.000000000000000	1.068127695000000	0.000000000000000	1.011122621000000	0.000000000000000	0.986975239200000	0.000000000000000	0.997040679300000	0.000000000000000	1.003560776000000	0.000000000000000	0.983316000900000	0.000000000000000	1.016992704000000	0.000000000000000	0.981943944300000	0.000000000000000	1.018942877000000	0.000000000000000	0.990752507500000	0.000000000000000	0.990040945900000	0.000000000000000	0.989339572500000	0.000000000000000	1.013336462000000	0.000000000000000	1.005490266000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
11.5	56	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1.082228772000000	0.000000000000000	1.073643143000000	0.000000000000000	1.103273664000000	0.000000000000000	1.083137386000000	0.000000000000000	1.095451920000000	0.000000000000000	1.085396335000000	0.000000000000000	1.071903665000000	0.000000000000000	1.092785381000000	0.000000000000000	1.069585671000000	0.000000000000000	1.072390001000000	0.000000000000000	1.075910894000000	0.000000000000000	1.053866531000000	0.000000000000000	1.072233732000000	0.000000000000000	1.068097678000000	0.000000000000000	1.080573474000000	0.000000000000000	1.079524693000000	0.000000000000000	1.062850431000000	0.000000000000000	1.069894029000000	0.000000000000000	1.091091469000000	0.000000000000000	1.059905757000000	0.000000000000000	1.089293251000000	0.000000000000000	1.075821043000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
11.0	55	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1.012729113000000	0.000000000000000	1.022799013000000	0.000000000000000	1.028863194000000	0.000000000000000	0.989458256900000	0.000000000000000	0.964785380600000	0.000000000000000	1.013868194000000	0.000000000000000	0.985470577100000	0.000000000000000	1.006467995000000	0.000000000000000	0.994680815800000	0.000000000000000	0.998937256600000	0.000000000000000	0.989435227500000	0.000000000000000	0.987918011500000	0.000000000000000	1.012420913000000	0.000000000000000	1.007406433000000	0.000000000000000	1.012470795000000	0.000000000000000	1.004443547000000	0.000000000000000	1.002523310000000	0.000000000000000	1.021894111000000	0.000000000000000	0.984635895300000	0.000000000000000	1.017627980000000	0.000000000000000	1.007934324000000	0.000000000000000	0.997421427100000	0.000000000000000	1.026407682000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
10.5	54	0.000000000000000	0.000000000000000	0.000000000000000	1.090191840000000	0.000000000000000	1.075200823000000	0.000000000000000	1.063015457000000	0.000000000000000	1.096160691000000	0.000000000000000	1.053193316000000	0.000000000000000	1.100480857000000	0.000000000000000	1.047143418000000	0.000000000000000	1.078235671000000	0.000000000000000	1.059835929000000	0.000000000000000	1.068918950000000	0.000000000000000	1.075193418000000	0.000000000000000	1.113037831000000	0.000000000000000	1.069132776000000	0.000000000000000	1.059033909000000	0.000000000000000	1.042931527000000	0.000000000000000	1.066011595000000	0.000000000000000	1.052078400000000	0.000000000000000	1.089243846000000	0.000000000000000	1.093339972000000	0.000000000000000	1.051599336000000	0.000000000000000	1.036555798000000	0.000000000000000	1.117923578000000	0.000000000000000	1.063799612000000	0.000000000000000	1.071139099000000	0.000000000000000	0.000000000000000	0.000000000000000
10.0	53	0.000000000000000	0.000000000000000	1.018925814000000	0.000000000000000	0.997562380300000	0.000000000000000	1.011175376000000	0.000000000000000	1.022742463000000	0.000000000000000	1.014258148000000	0.000000000000000	1.000659529000000	0.000000000000000	0.999362350800000	0.000000000000000	0.989019085400000	0.000000000000000	0.976541122500000	0.000000000000000	0.974941619000000	0.000000000000000	1.004670655000000	0.000000000000000	0.980333840800000	0.000000000000000	1.004407296000000	0.000000000000000	1.001548450000000	0.000000000000000	0.985510715500000	0.000000000000000	0.986949831800000	0.000000000000000	0.971264858700000	0.000000000000000	1.003093302000000	0.000000000000000	0.988869868400000	0.000000000000000	1.010532071000000	0.000000000000000	0.964614496900000	0.000000000000000	1.046459120000000	0.000000000000000	1.008733330000000	0.000000000000000	0.994578440200000	0.000000000000000	1.017477124000000	0.000000000000000	0.000000000000000
9.5	52	0.000000000000000	1.062812798000000	0.000000000000000	1.068621961000000	0.000000000000000	1.089543194000000	0.000000000000000	1.071393765000000	0.000000000000000	1.051934616000000	0.000000000000000	1.047577751000000	0.000000000000000	1.078234960000000	0.000000000000000	1.059038213000000	0.000000000000000	1.043505450000000	0.000000000000000	1.084181762000000	0.000000000000000	1.055286554000000	0.000000000000000	1.073250304000000	0.000000000000000	1.050648617000000	0.000000000000000	1.107477083000000	0.000000000000000	1.068773457000000	0.000000000000000	1.057784308000000	0.000000000000000	1.087850475000000	0.000000000000000	1.054323374000000	0.000000000000000	1.070925391000000	0.000000000000000	1.068618734000000	0.000000000000000	1.097207202000000	0.000000000000000	1.047419726000000	0.000000000000000	1.079920470000000	0.000000000000000	1.067148179000000	0.000000000000000	1.082957823000000	0.000000000000000	1.071917678000000	0.000000000000000
9.0	51	0.980717409800000	0.000000000000000	1.006048287000000	0.000000000000000	0.993064226300000	0.000000000000000	1.021271293000000	0.000000000000000	1.002487640000000	0.000000000000000	0.998567173600000	0.000000000000000	0.996123940300000	0.000000000000000	1.008037576000000	0.000000000000000	0.986217181700000	0.000000000000000	1.024568465000000	0.000000000000000	1.016172900000000	0.000000000000000	0.991161372800000	0.000000000000000	0.996472136000000	0.000000000000000	0.980799043400000	0.000000000000000	0.991927246900000	0.000000000000000	1.020695744000000	0.000000000000000	1.002605124000000	0.000000000000000	1.010141457000000	0.000000000000000	0.989049891900000	0.000000000000000	1.000440435000000	0.000000000000000	1.008845751000000	0.000000000000000	1.011261101000000	0.000000000000000	0.968559551600000	0.000000000000000	1.021242818000000	0.000000000000000	0.987286914300000	0.000000000000000	1.009303456000000	0.000000000000000	1.019038771000000
8.5	50	0.000000000000000	1.093495439000000	0.000000000000000	1.096329379000000	0.000000000000000	1.073912845000000	0.000000000000000	1.080126488000000	0.000000000000000	1.051621575000000	0.000000000000000	1.090040230000000	0.000000000000000	1.060535600000000	0.000000000000000	1.078625402000000	0.000000000000000	1.064206769000000	0.000000000000000	1.055527378000000	0.000000000000000	1.088284718000000	0.000000000000000	1.065772061000000	0.000000000000000	1.078727084000000	0.000000000000000	1.082085228000000	0.000000000000000	1.057308190000000	0.000000000000000	1.093985173000000	0.000000000000000	1.067327016000000	0.000000000000000	1.068519625000000	0.000000000000000	1.101159868000000	0.000000000000000	1.063293923000000	0.000000000000000	1.066992638000000	0.000000000000000	1.095205199000000	0.000000000000000	1.075487751000000	0.000000000000000	1.061010328000000	0.000000000000000	1.078693062000000	0.000000000000000	1.084799953000000	0.000000000000000
8.0	49	1.041725629000000	0.000000000000000	1.016329797000000	0.000000000000000	0.999153484500000	0.000000000000000	1.017238705000000	0.000000000000000	1.017984943000000	0.000000000000000	1.022908481000000	0.000000000000000	0.982283620900000	0.000000000000000	1.012679141000000	0.000000000000000	1.014575723000000	0.000000000000000	1.013596594000000	0.000000000000000	0.975030462300000	0.000000000000000	0.983787261600000	0.000000000000000	1.016990183000000	0.000000000000000	0.977814776000000	0.000000000000000	1.004635051000000	0.000000000000000	1.011008479000000	0.000000000000000	0.994300308700000	0.000000000000000	0.978321224400000	0.000000000000000	0.994111578700000	0.000000000000000	0.979872457700000	0.000000000000000	1.034521151000000	0.000000000000000	1.011475022000000	0.000000000000000	1.001288754000000	0.000000000000000	1.041098948000000	0.000000000000000	1.012095171000000	0.000000000000000	0.988904774000000	0.000000000000000	1.013231003000000
7.5	48	0.000000000000000	1.128552274000000	0.000000000000000	1.075377560000000	0.000000000000000	1.068870311000000	0.000000000000000	1.068772200000000	0.000000000000000	1.086945097000000	0.000000000000000	1.055436931000000	0.000000000000000	1.068683131000000	0.000000000000000	1.057713828000000	0.000000000000000	1.081157268000000	0.000000000000000	1.095690072000000	0.000000000000000	1.057147037000000	0.000000000000000	1.076178136000000	0.000000000000000	1.064561300000000	0.000000000000000	1.072008016000000	0.000000000000000	1.070976464000000	0.000000000000000	1.050954986000000	0.000000000000000	1.070724761000000	0.000000000000000	1.061209074000000	0.000000000000000	1.031160310000000	0.000000000000000	1.053306087000000	0.000000000000000	1.082784007000000	0.000000000000000	1.052090560000000	0.000000000000000	1.071463059000000	0.000000000000000	1.072541624000000	0.000000000000000	1.081062071000000	0.000000000000000	1.093470078000000	0.000000000000000
7.0	47	1.011274813000000	0.000000000000000	0.981396417400000	0.000000000000000	1.011673319000000	0.000000000000000	1.015273317000000	0.000000000000000	1.018202855000000	0.000000000000000	1.025716891000000	0.000000000000000	1.012150823000000	0.000000000000000	1.001881263000000	0.000000000000000	0.990231908500000	0.000000000000000	1.027827348000000	0.000000000000000	1.000221678000000	0.000000000000000	1.009308211000000	0.000000000000000	1.012267016000000	0.000000000000000	1.018135848000000	0.000000000000000	0.964302877700000	0.000000000000000	1.015891185000000	0.000000000000000	1.015406687000000	0.000000000000000	0.972623631600000	0.000000000000000	0.995224166900000	0.000000000000000	1.005501887000000	0.000000000000000	0.985149337800000	0.000000000000000	0.987735216400000	0.000000000000000	1.005657332000000	0.000000000000000	1.013021247000000	0.000000000000000	0.983757101300000	0.000000000000000	1.018343425000000	0.000000000000000	1.028524997000000
6.5	46	0.000000000000000	1.071108333000000	0.000000000000000	1.061034146000000	0.000000000000000	1.057122760000000	0.000000000000000	1.087253762000000	0.000000000000000	1.071601464000000	0.000000000000000	1.094417107000000	0.000000000000000	1.060258790000000	0.000000000000000	1.071261062000000	0.000000000000000	1.087004626000000	0.000000000000000	1.044384352000000	0.000000000000000	1.066264787000000	0.000000000000000	1.050988119000000	0.000000000000000	1.082436928000000	0.000000000000000	1.061223030000000	0.000000000000000	1.023984444000000	0.000000000000000	1.049019676000000	0.000000000000000	1.083591751000000	0.000000000000000	1.034748182000000	0.000000000000000	1.028181521000000	0.000000000000000	1.060507217000000	0.000000000000000	1.077998773000000	0.000000000000000	1.057413298000000	0.000000000000000	1.073499193000000	0.000000000000000	1.046591574000000	0.000000000000000	1.068139808000000	0.000000000000000	1.070562326000000	0.000000000000000
6.0	45	1.005898547000000	0.000000000000000	0.984451867700000	0.000000000000000	1.001480839000000	0.000000000000000	1.001743501000000	0.000000000000000	1.025440675000000	0.000000000000000	0.978586870200000	0.000000000000000	0.987672059800000	0.000000000000000	0.997970859800000	0.000000000000000	1.078034857000000	0.000000000000000	0.995423127800000	0.000000000000000	0.992385032300000	0.000000000000000	1.027743025000000	0.000000000000000	1.012820307000000	0.000000000000000	1.013164065000000	0.000000000000000	0.998575915400000	0.000000000000000	1.011404273000000	0.000000000000000	1.013673666000000	0.000000000000000	1.001650314000000	0.000000000000000	1.022944293000000	0.000000000000000	0.986530687700000	0.000000000000000	0.991389856200000	0.000000000000000	1.005134499000000	0.000000000000000	1.015474833000000	0.000000000000000	1.002807726000000	0.000000000000000	1.000959234000000	0.000000000000000	1.031799272000000	0.000000000000000	1.036583284000000
5.5	44	0.000000000000000	1.082844526000000	0.000000000000000	1.081466730000000	0.000000000000000	1.088355581000000	0.000000000000000	1.063852042000000	0.000000000000000	1.055264303000000	0.000000000000000	1.068995915000000	0.000000000000000	1.064073625000000	0.000000000000000	1.065435921000000	0.000000000000000	1.036186950000000	0.000000000000000	1.075942161000000	0.000000000000000	1.072292333000000	0.000000000000000	1.091211337000000	0.000000000000000	1.082004003000000	0.000000000000000	1.098268524000000	0.000000000000000	1.073718833000000	0.000000000000000	1.081291588000000	0.000000000000000	1.073043659000000	0.000000000000000	1.059865994000000	0.000000000000000	1.094672680000000	0.000000000000000	1.070890741000000	0.000000000000000	1.055975144000000	0.000000000000000	1.073816902000000	0.000000000000000	1.074950652000000	0.000000000000000	1.082962581000000	0.000000000000000	1.062049965000000	0.000000000000000	1.091890049000000	0.000000000000000
5.0	43	1.037677891000000	0.000000000000000	1.030352082000000	0.000000000000000	0.977655101500000	0.000000000000000	0.989141556400000	0.000000000000000	0.992859913200000	0.000000000000000	1.011634893000000	0.000000000000000	1.039426735000000	0.000000000000000	0.978116715800000	0.000000000000000	0.988005287900000	0.000000000000000	1.011151117000000	0.000000000000000	1.008669387000000	0.000000000000000	1.002641969000000	0.000000000000000	0.999014288200000	0.000000000000000	1.030035643000000	0.000000000000000	0.998980435500000	0.000000000000000	0.980876902000000	0.000000000000000	0.994480844200000	0.000000000000000	1.028498293000000	0.000000000000000	1.001667244000000	0.000000000000000	0.981580804800000	0.000000000000000	1.002926567000000	0.000000000000000	1.007495042000000	0.000000000000000	0.992873708600000	0.000000000000000	0.986314411200000	0.000000000000000	1.025022257000000	0.000000000000000	1.032080957000000	0.000000000000000	0.982853283300000
4.5	42	0.000000000000000	1.057664794000000	0.000000000000000	1.083133826000000	0.000000000000000	1.067547067000000	0.000000000000000	1.060618521000000	0.000000000000000	1.089398067000000	0.000000000000000	1.078427938000000	0.000000000000000	1.077982855000000	0.000000000000000	1.047616084000000	0.000000000000000	1.065014412000000	0.000000000000000	1.048927368000000	0.000000000000000	1.068589693000000	0.000000000000000	1.088944362000000	0.000000000000000	1.062407695000000	0.000000000000000	1.032766282000000	0.000000000000000	1.092502156000000	0.000000000000000	1.064284429000000	0.000000000000000	1.069895626000000	0.000000000000000	1.052953722000000	0.000000000000000	1.091041846000000	0.000000000000000	1.075195467000000	0.000000000000000	1.091847605000000	0.000000000000000	1.066463690000000	0.000000000000000	1.040256245000000	0.000000000000000	1.057768575000000	0.000000000000000	1.096791230000000	0.000000000000000	1.087654425000000	0.000000000000000
4.0	41	1.012351894000000	0.000000000000000	0.995424281800000	0.000000000000000	1.005937616000000	0.000000000000000	0.997825326100000	0.000000000000000	1.026026122000000	0.000000000000000	0.989976264200000	0.000000000000000	0.984155262800000	0.000000000000000	1.009268357000000	0.000000000000000	1.021561014000000	0.000000000000000	1.014020707000000	0.000000000000000	0.998551832900000	0.000000000000000	0.992395318600000	0.000000000000000	1.069670189000000	0.000000000000000	0.983596056400000	0.000000000000000	1.029781797000000	0.000000000000000	0.979675939300000	0.000000000000000	0.995120082100000	0.000000000000000	0.987840523000000	0.000000000000000	1.003535512000000	0.000000000000000	0.986565932400000	0.000000000000000	0.973235226800000	0.000000000000000	0.980917234600000	0.000000000000000	0.995651397200000	0.000000000000000	1.031156330000000	0.000000000000000	1.000032438000000	0.000000000000000	1.012106906000000	0.000000000000000	1.010686481000000
3.5	40	0.000000000000000	1.056914716000000	0.000000000000000	1.083296409000000	0.000000000000000	1.054696892000000	0.000000000000000	1.093164863000000	0.000000000000000	1.046148141000000	0.000000000000000	1.098988834000000	0.000000000000000	1.056687964000000	0.000000000000000	1.045461169000000	0.000000000000000	1.054001165000000	0.000000000000000	1.066754047000000	0.000000000000000	1.088405099000000	0.000000000000000	1.046049026000000	0.000000000000000	1.057649766000000	0.000000000000000	1.074261264000000	0.000000000000000	1.042105170000000	0.000000000000000	1.084236320000000	0.000000000000000	1.079356786000000	0.000000000000000	1.051289672000000	0.000000000000000	1.056506728000000	0.000000000000000	1.069374073000000	0.000000000000000	1.067713097000000	0.000000000000000	1.060494941000000	0.000000000000000	1.085381064000000	0.000000000000000	1.078323058000000	0.000000000000000	1.066386513000000	0.000000000000000	1.069089852000000	0.000000000000000
3.0	39	1.005648555000000	0.000000000000000	0.980527774000000	0.000000000000000	0.994123210600000	0.000000000000000	0.994411978400000	0.000000000000000	1.033874275000000	0.000000000000000	1.017048375000000	0.000000000000000	0.977977061000000	0.000000000000000	0.977871115300000	0.000000000000000	1.016991049000000	0.000000000000000	0.996435955300000	0.000000000000000	0.962220140100000	0.000000000000000	1.009025480000000	0.000000000000000	1.010429434000000	0.000000000000000	0.980820488700000	0.000000000000000	0.981662698400000	0.000000000000000	1.014419691000000	0.000000000000000	0.979640730200000	0.000000000000000	0.987638849400000	0.000000000000000	0.995465397300000	0.000000000000000	1.007517378000000	0.000000000000000	1.009802028000000	0.000000000000000	1.010237028000000	0.000000000000000	1.018995142000000	0.000000000000000	0.998866359400000	0.000000000000000	1.011061384000000	0.000000000000000	1.044262588000000	0.000000000000000	1.017980852000000
2.5	38	0.000000000000000	1.085397864000000	0.000000000000000	1.078267541000000	0.000000000000000	1.102920107000000	0.000000000000000	1.098229658000000	0.000000000000000	1.070749451000000	0.000000000000000	1.078569059000000	0.000000000000000	1.068235249000000	0.000000000000000	1.046305336000000	0.000000000000000	1.081064596000000	0.000000000000000	1.061674065000000	0.000000000000000	1.083892766000000	0.000000000000000	1.066523481000000	0.000000000000000	1.048037302000000	0.000000000000000	1.058401781000000	0.000000000000000	1.078026872000000	0.000000000000000	1.060895382000000	0.000000000000000	1.051390295000000	0.000000000000000	1.077521824000000	0.000000000000000	1.034941009000000	0.000000000000000	1.072342692000000	0.000000000000000	1.056577737000000	0.000000000000000	1.076627008000000	0.000000000000000	1.078596196000000	0.000000000000000	1.063758517000000	0.000000000000000	1.060660442000000	0.000000000000000	1.061212611000000	0.000000000000000
2.0	37	1.023770384000000	0.000000000000000	1.014996062000000	0.000000000000000	0.987778621200000	0.000000000000000	0.995027217300000	0.000000000000000	1.014344940000000	0.000000000000000	0.999139385700000	0.000000000000000	0.989148434700000	0.000000000000000	0.988099345500000	0.000000000000000	0.977630889200000	0.000000000000000	1.001766710000000	0.000000000000000	1.015596084000000	0.000000000000000	0.987549118700000	0.000000000000000	0.993380702300000	0.000000000000000	0.994483565800000	0.000000000000000	1.015441876000000	0.000000000000000	1.035598534000000	0.000000000000000	1.015744666000000	0.000000000000000	1.018655658000000	0.000000000000000	1.019448475000000	0.000000000000000	1.017261128000000	0.000000000000000	0.995531498400000	0.000000000000000	1.020379871000000	0.000000000000000	0.977068219200000	0.000000000000000	1.012545450000000	0.000000000000000	1.031310438000000	0.000000000000000	1.016153922000000	0.000000000000000	1.018562045000000
1.5	36	0.000000000000000	1.102613486000000	0.000000000000000	1.070559496000000	0.000000000000000	1.070078647000000	0.000000000000000	1.091323225000000	0.000000000000000	1.083783139000000	0.000000000000000	1.085343744000000	0.000000000000000	1.054136543000000	0.000000000000000	1.048732050000000	0.000000000000000	1.033963611000000	0.000000000000000	1.081838218000000	0.000000000000000	1.056870443000000	0.000000000000000	1.075427628000000	0.000000000000000	1.070347887000000	0.000000000000000	1.057590499000000	0.000000000000000	1.082648408000000	0.000000000000000	1.069065628000000	0.000000000000000	1.068084784000000	0.000000000000000	1.076194495000000	0.000000000000000	1.083720238000000	0.000000000000000	1.070058175000000	0.000000000000000	1.065590942000000	0.000000000000000	1.089059249000000	0.000000000000000	1.075827134000000	0.000000000000000	1.056308998000000	0.000000000000000	1.081729807000000	0.000000000000000	1.058478922000000	0.000000000000000
1.0	35	1.024454252000000	0.000000000000000	1.007545368000000	0.000000000000000	0.987514373100000	0.000000000000000	0.983512726300000	0.000000000000000	0.998653122200000	0.000000000000000	0.992917028600000	0.000000000000000	1.013384795000000	0.000000000000000	1.008452564000000	0.000000000000000	1.017117473000000	0.000000000000000	1.027919816000000	0.000000000000000	0.996831097700000	0.000000000000000	1.003455337000000	0.000000000000000	1.002921902000000	0.000000000000000	0.998845464800000	0.000000000000000	0.960544616900000	0.000000000000000	0.997410623400000	0.000000000000000	0.977136927200000	0.000000000000000	0.994150129900000	0.000000000000000	0.995051944000000	0.000000000000000	1.032114174000000	0.000000000000000	1.014262316000000	0.000000000000000	1.012738769000000	0.000000000000000	1.015801186000000	0.000000000000000	0.986290220300000	0.000000000000000	1.011362468000000	0.000000000000000	1.031891855000000	0.000000000000000	1.016872571000000
0.5	34	0.000000000000000	1.074640927000000	0.000000000000000	1.072172531000000	0.000000000000000	1.053789043000000	0.000000000000000	1.082783454000000	0.000000000000000	1.091824813000000	0.000000000000000	1.069543794000000	0.000000000000000	1.095473084000000	0.000000000000000	1.063761298000000	0.000000000000000	1.053642842000000	0.000000000000000	1.092025439000000	0.000000000000000	1.065355789000000	0.000000000000000	1.071957565000000	0.000000000000000	1.065126694000000	0.000000000000000	1.072806061000000	0.000000000000000	1.051589607000000	0.000000000000000	1.058172740000000	0.000000000000000	1.053571700000000	0.000000000000000	1.065203828000000	0.000000000000000	1.085710370000000	0.000000000000000	1.057002675000000	0.000000000000000	1.052481259000000	0.000000000000000	1.052210525000000	0.000000000000000	1.076229140000000	0.000000000000000	1.058972249000000	0.000000000000000	1.088637332000000	0.000000000000000	1.076597095000000	0.000000000000000
