MapCHECK 3 Measurement File:	Measured File

Header:
File Revision:	A
File Name:	H:\Physics\Share\MapCHECK\MapCHECK_QA\276477001(Essen)\2025\6\Linearity_1000MU_4-Jun-2025-A.txt
Date:	06/04/25	Time:	21:44:18	
Calibration File:	6x_newMapcheck.cal
Software Version:	8.6.0.76

	Device Config
Model:	1178 MapCHECK 3
Serial:	276477001
Hardware Revision:	E3\D3
Firmware Version:	1.00.01.00
FPGA Version:	1.0.0
Diode Type:	4
EIB Total Counts:	17015502	15690259
Collection Interval:	50	ms

	Device Setup
Beam Energy:	6	MV
MapPHAN:	0	
Orientation:	0

	Dose Calibration
Dose Per Count:	2.363315171e-05
Energy:	6x
Time Stamp:	1749090200
Temperature:	19.95342752	C
Comments:	6x       BR3_6/4/2025

	Data Corrections Applied
Absolute Dose:	1
Temperature:	1
Angular:	1
Field Size:	0

	Measurement Info
Delivery Type:	VMAT
Temperature:	20.066
Update Count:	2122
Backgrounds Count:	1
Total Pulses:	39908
Total Time:	115450	ms
Beam ON Time:	106050	ms
CaxY:	33
CaxX:	27
Row Counts in 2D:	65
Col Counts in 2D:	53

Background
Ycm	ROW	
11.0	55	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	-0.013792441358123	0.000000000000000	0.036353163301226	0.000000000000000	0.023168741399725	0.000000000000000	0.014720471055074	0.000000000000000	0.033857083426670	0.000000000000000	0.007936253960127	0.000000000000000	0.032225031200998	0.000000000000000	-0.007232231431406	0.000000000000000	-0.008896284681110	0.000000000000000	0.008896284681110	0.000000000000000	0.033889084450702	0.000000000000000	-0.021504688150021	0.000000000000000	0.009568306185798	0.000000000000000	0.012672405516977	0.000000000000000	-0.009632308233863	0.000000000000000	0.000896028672918	0.000000000000000	-0.008000256008192	0.000000000000000	-0.001312041985344	0.000000000000000	0.001248039937278	0.000000000000000	0.009536305161765	0.000000000000000	0.053089698870364	0.000000000000000	0.018528592914973	0.000000000000000	-0.005280168965407	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
10.5	54	0.000000000000000	0.000000000000000	0.000000000000000	0.024640788505232	0.000000000000000	0.009312297993536	0.000000000000000	0.007040225287209	0.000000000000000	0.019872635924350	0.000000000000000	0.011328362507600	0.000000000000000	0.028896924701590	0.000000000000000	0.017664565266089	0.000000000000000	0.032161029152933	0.000000000000000	-0.006624211974783	0.000000000000000	0.007488239623668	0.000000000000000	0.007776248839963	0.000000000000000	0.003776120835867	0.000000000000000	0.012800409613108	0.000000000000000	0.017152548881564	0.000000000000000	0.004320138244424	0.000000000000000	0.002656084994720	0.000000000000000	0.006688214022849	0.000000000000000	0.004128132100227	0.000000000000000	-0.000032001024033	0.000000000000000	0.000736023552754	0.000000000000000	-0.016032513040417	0.000000000000000	0.005056161797178	0.000000000000000	0.019040609299498	0.000000000000000	0.005632180229767	0.000000000000000	0.000000000000000	0.000000000000000
10.0	53	0.000000000000000	0.000000000000000	0.010336330762584	0.000000000000000	0.004384140292489	0.000000000000000	0.010528336906781	0.000000000000000	0.015616499727991	0.000000000000000	0.031649012768409	0.000000000000000	0.038721239079651	0.000000000000000	0.051713654836955	0.000000000000000	0.025568818202182	0.000000000000000	0.011904380940190	0.000000000000000	-0.007456238599635	0.000000000000000	0.024576786457167	0.000000000000000	0.028800921629492	0.000000000000000	-0.009600307209831	0.000000000000000	0.019648628756120	0.000000000000000	0.026304841754936	0.000000000000000	0.000256008192262	0.000000000000000	0.004992159749112	0.000000000000000	0.005696182277833	0.000000000000000	0.025824826394445	0.000000000000000	0.018976607251432	0.000000000000000	0.034049089570866	0.000000000000000	0.042305353771321	0.000000000000000	-0.011072354315338	0.000000000000000	-0.005024160773145	0.000000000000000	0.002272072706327	0.000000000000000	0.000000000000000
9.5	52	0.000000000000000	0.018464590866908	0.000000000000000	0.006912221191078	0.000000000000000	0.010112323594355	0.000000000000000	0.007616243719799	0.000000000000000	0.009504304137732	0.000000000000000	0.000000000000000	0.000000000000000	0.030048961566770	0.000000000000000	0.022016704534545	0.000000000000000	0.032577042465359	0.000000000000000	-0.014848475151205	0.000000000000000	0.015872507920253	0.000000000000000	0.002272072706327	0.000000000000000	0.009312297993536	0.000000000000000	-0.004128132100227	0.000000000000000	0.014400460814746	0.000000000000000	0.003104099331179	0.000000000000000	-0.029472943134180	0.000000000000000	0.007680245767865	0.000000000000000	0.001152036865180	0.000000000000000	-0.007200230407373	0.000000000000000	-0.012416397324714	0.000000000000000	-0.006336202758488	0.000000000000000	-0.012704406541009	0.000000000000000	0.006208198662357	0.000000000000000	0.003904124931998	0.000000000000000	0.000384012288393	0.000000000000000
9.0	51	-0.004608147460719	0.000000000000000	0.017088546833499	0.000000000000000	-0.014752472079107	0.000000000000000	0.000480015360492	0.000000000000000	0.058881884220295	0.000000000000000	0.026400844827034	0.000000000000000	0.016224519184614	0.000000000000000	0.041473327146469	0.000000000000000	0.053921725495216	0.000000000000000	-0.029120931869820	0.000000000000000	0.045857467438958	0.000000000000000	0.020384652308874	0.000000000000000	0.020224647188710	0.000000000000000	0.016832538641237	0.000000000000000	0.019616627732087	0.000000000000000	0.031905020960671	0.000000000000000	0.018592594963039	0.000000000000000	0.018176581650613	0.000000000000000	0.062433997887932	0.000000000000000	-0.005376172037505	0.000000000000000	0.009344299017569	0.000000000000000	0.018400588818842	0.000000000000000	0.037729207334635	0.000000000000000	0.004672149508784	0.000000000000000	-0.013344427021665	0.000000000000000	-0.016192518160581	0.000000000000000	0.005120163845243
8.5	50	0.000000000000000	-0.001472047105507	0.000000000000000	0.006432205830587	0.000000000000000	0.004928157701046	0.000000000000000	0.017472559121892	0.000000000000000	0.027680885788345	0.000000000000000	0.036001152036865	0.000000000000000	0.023360747543921	0.000000000000000	0.025792825370412	0.000000000000000	0.017088546833499	0.000000000000000	0.004672149508784	0.000000000000000	0.008576274440782	0.000000000000000	0.005184165893309	0.000000000000000	0.016064514064450	0.000000000000000	0.006112195590259	0.000000000000000	0.011296361483567	0.000000000000000	-0.003296105475375	0.000000000000000	-0.016416525328811	0.000000000000000	0.003200102403277	0.000000000000000	-0.007008224263176	0.000000000000000	-0.007680245767865	0.000000000000000	-0.015968510992352	0.000000000000000	-0.004960158725079	0.000000000000000	0.003936125956031	0.000000000000000	0.017632564242056	0.000000000000000	-0.001728055297770	0.000000000000000	0.005440174085571	0.000000000000000
8.0	49	0.003168101379244	0.000000000000000	0.005184165893309	0.000000000000000	0.032929053729719	0.000000000000000	0.053889724471183	0.000000000000000	0.019968638996448	0.000000000000000	0.007392236551570	0.000000000000000	-0.013504432141829	0.000000000000000	0.025120803865724	0.000000000000000	0.036033153060898	0.000000000000000	0.004800153604915	0.000000000000000	0.025408813082019	0.000000000000000	0.017664565266089	0.000000000000000	0.019904636948382	0.000000000000000	0.028512912413197	0.000000000000000	0.016384524304778	0.000000000000000	0.006400204806554	0.000000000000000	0.020992671765496	0.000000000000000	0.010624339978879	0.000000000000000	0.048545553457711	0.000000000000000	0.016512528400909	0.000000000000000	0.016352523280745	0.000000000000000	0.040833306665813	0.000000000000000	0.020096643092579	0.000000000000000	0.003424109571506	0.000000000000000	-0.004480143364588	0.000000000000000	-0.002720087042785	0.000000000000000	-0.009632308233863
7.5	48	0.000000000000000	0.013120419853435	0.000000000000000	0.022752728087299	0.000000000000000	0.004448142340555	0.000000000000000	0.035329130532177	0.000000000000000	0.016512528400909	0.000000000000000	0.006848219143013	0.000000000000000	0.023968767000544	0.000000000000000	0.029632948254344	0.000000000000000	0.064354059329899	0.000000000000000	-0.011840378892125	0.000000000000000	0.006912221191078	0.000000000000000	0.004736151556850	0.000000000000000	-0.006656212998816	0.000000000000000	-0.004896156677014	0.000000000000000	-0.004928157701046	0.000000000000000	0.027424877596083	0.000000000000000	0.005280168965407	0.000000000000000	-0.009664309257896	0.000000000000000	-0.000192006144197	0.000000000000000	-0.006208198662357	0.000000000000000	0.004576146436686	0.000000000000000	0.001600051201638	0.000000000000000	-0.008672277512880	0.000000000000000	0.006080194566226	0.000000000000000	0.003552113667637	0.000000000000000	0.006464206854619	0.000000000000000
7.0	47	0.013248423949566	0.000000000000000	0.002880092162949	0.000000000000000	-0.001120035841147	0.000000000000000	-0.000576018432590	0.000000000000000	-0.002976095235048	0.000000000000000	-0.008000256008192	0.000000000000000	0.003648116739736	0.000000000000000	0.025952830490576	0.000000000000000	0.050593618995808	0.000000000000000	-0.008512272392717	0.000000000000000	0.018080578578515	0.000000000000000	0.036161157157029	0.000000000000000	0.056065794105411	0.000000000000000	0.015488495631860	0.000000000000000	0.041985343530993	0.000000000000000	0.007232231431406	0.000000000000000	0.025632820250248	0.000000000000000	0.006400204806554	0.000000000000000	0.030400972831131	0.000000000000000	0.028704918557394	0.000000000000000	0.015200486415565	0.000000000000000	0.044801433645877	0.000000000000000	0.026496847899133	0.000000000000000	-0.024032769048610	0.000000000000000	-0.002752088066818	0.000000000000000	-0.021376684053890	0.000000000000000	-0.004576146436686
6.5	46	0.000000000000000	0.027744887836411	0.000000000000000	-0.007744247815930	0.000000000000000	-0.019360619539825	0.000000000000000	0.004000128004096	0.000000000000000	0.018944606227399	0.000000000000000	-0.008992287753208	0.000000000000000	0.008320266248520	0.000000000000000	0.027744887836411	0.000000000000000	0.015232487439598	0.000000000000000	-0.000960030720983	0.000000000000000	0.003456110595539	0.000000000000000	-0.003136100355211	0.000000000000000	-0.002304073730359	0.000000000000000	0.002016064514064	0.000000000000000	-0.000192006144197	0.000000000000000	0.003584114691670	0.000000000000000	-0.002432077826490	0.000000000000000	0.005120163845243	0.000000000000000	0.000864027648885	0.000000000000000	-0.004032129028129	0.000000000000000	-0.012928413709239	0.000000000000000	0.002336074754392	0.000000000000000	-0.001824058369868	0.000000000000000	0.010880348171141	0.000000000000000	0.005728183301866	0.000000000000000	0.000096003072098	0.000000000000000
